# Qt packages can be built in the following order (for example):
#  qt5-base qt5-base-static qt5-declarative qt5-tools qt5-xmlpatterns qt5-script qt5-location qt5-multimedia qt5-sensors qt5-webchannel qt5-3d qt5-imageformats qt5-quickcontrols qt5-quickcontrols2 qt5-translations qt5-svg qt5-websockets qt5-winextras qt5-serialport qt5-canvas3d qt5-connectivity qt5-charts qt5-gamepad qt5-scxml qt5-datavis3s qt5-virtualkeyboard qt5-activeqt qt5-webkit


qt5 Module                  Depends on qt5 modules
qtbase
qtactiveqt                  ???qt5-base
qtserialport                qt5-base
qtimageformats              qt5-base
qtxmlpatterns               qt5-base
qtsvg                       qt5-base
qtserialbus                 qt5-serialport
qtdeclarative               qt5-xmlpatterns
qtremoteobjects             qt5-declarative, qt5-base
qtscxml                     qt5-declarative
qtcanvas3d                  qt5-declarative
qtgamepad                   qt5-declarative, qt5-base
qtconnectivity              qt5-declarative, qt5-base
qtwebsockets                qt5-declarative, qt5-base
qtsensors                   qt5-declarative, qt5-base
qtmultimedia                qt5-declarative, qt5-base
qtgraphicaleffects          qt5-declarative
qttools                     qt5-declarative, qt5-base, ???
qtwebview                   ?qt5-webengine?
qtdoc                       qt5-tools, qt5-base
qt3d                        qt5-declarative
qtwebchannel                qt5-declarative
qtspeech                    qt5-multimedia
qtdatavis3d                 qt5-declarative, qt5-base
qtcharts                    qt5-declarative, qt5-base
qtwinextras                 ???qt5-base
qtquickcontrols2            qt5-declarative,qt5-graphicaleffects
qtquickcontrols             qt5-declarative
qtscript                    qt5-base
qtnetworkauth               qt5-base
qttranslations              qt5-tools, qt5-base
qtvirtualkeyboard           qt5-declarative, qt5-svg
qtlocation                  qt5-declarative
qt5-examples                qt5-doc
